,film,actor,year
0,127 Hours,James Franco,2010
0,127 Hours,Amber Tamblyn,2010
0,127 Hours,Kate Mara,2010
0,127 Hours,Clémence Poésy,2010
0,127 Hours,Lizzy Caplan,2010
2,The Abandoned,Mira Furlan,2010
3,The A-Team,Liam Neeson,2010
3,The A-Team,Bradley Cooper,2010
3,The A-Team,"Quinton ""Rampage"" Jackson",2010
3,The A-Team,Sharlto Copley,2010
3,The A-Team,Jessica Biel,2010
3,The A-Team,Patrick Wilson,2010
3,The A-Team,Brian Bloom,2010
4,A Little Help,Jenna Fischer,2010
4,A Little Help,Chris O'Donnell,2010
4,A Little Help,Rob Benedict,2010
4,A Little Help,Arden Myrin,2010
4,A Little Help,Daniel Yelsky,2010
5,Adventures of Power,Ari Gold,2010
5,Adventures of Power,Michael McKean,2010
5,Adventures of Power,Jane Lynch,2010
5,Adventures of Power,Shoshannah Stern,2010
5,Adventures of Power,Chiu Chi Ling,2010
5,Adventures of Power,Adrian Grenier,2010
6,Alice in Wonderland,Johnny Depp,2010
6,Alice in Wonderland,Anne Hathaway,2010
6,Alice in Wonderland,Helena Bonham Carter,2010
6,Alice in Wonderland,Mia Wasikowska,2010
6,Alice in Wonderland,Alan Rickman,2010
6,Alice in Wonderland,Crispin Glover,2010
6,Alice in Wonderland,Stephen Fry,2010
6,Alice in Wonderland,Michael Sheen,2010
6,Alice in Wonderland,Christopher Lee,2010
7,All Good Things,Ryan Gosling,2010
7,All Good Things,Kirsten Dunst,2010
7,All Good Things,Frank Langella,2010
7,All Good Things,Kristen Wiig,2010
7,All Good Things,Philip Baker Hall,2010
8,All My Friends Are Funeral Singers,Angela Bettis,2010
8,All My Friends Are Funeral Singers,Reid Coker,2010
9,Alpha and Omega,Justin Long,2010
9,Alpha and Omega,Hayden Panettiere,2010
9,Alpha and Omega,Dennis Hopper,2010
9,Alpha and Omega,Danny Glover,2010
9,Alpha and Omega,Christina Ricci,2010
10,The American,George Clooney,2010
10,The American,Violante Placido,2010
10,The American,Thekla Reuten,2010
10,The American,Paolo Bonacelli,2010
11,The Back-up Plan,Jennifer Lopez,2010
11,The Back-up Plan,Alex O'Loughlin,2010
11,The Back-up Plan,Eric Christian Olsen,2010
11,The Back-up Plan,Anthony Anderson,2010
11,The Back-up Plan,Linda Lavin,2010
12,Barry Munday,Patrick Wilson,2010
12,Barry Munday,Judy Greer,2010
12,Barry Munday,Chloë Sevigny,2010
12,Barry Munday,Jean Smart,2010
12,Barry Munday,Cybill Shepherd,2010
12,Barry Munday,Shea Whigham,2010
12,Barry Munday,Missi Pyle,2010
12,Barry Munday,Christopher McDonald,2010
12,Barry Munday,Billy Dee Williams,2010
12,Barry Munday,Malcolm McDowell,2010
13,BearCity,Gerald McCullouch,2010
13,BearCity,Stephen Guarino,2010
13,BearCity,Ashlie Atkinson,2010
14,Big Money Rustlas,Insane Clown Posse,2010
14,Big Money Rustlas,Violent J,2010
14,Big Money Rustlas,Twiztid,2010
14,Big Money Rustlas,Jamie Madrox,2010
14,Big Money Rustlas,Monoxide,2010
14,Big Money Rustlas,Jason Mewes,2010
15,Black Swan,Natalie Portman,2010
15,Black Swan,Vincent Cassel,2010
15,Black Swan,Mila Kunis,2010
15,Black Swan,Barbara Hershey,2010
15,Black Swan,Winona Ryder,2010
16,Blue Valentine,Ryan Gosling,2010
16,Blue Valentine,Michelle Williams,2010
17,The Book of Eli,Denzel Washington,2010
17,The Book of Eli,Gary Oldman,2010
17,The Book of Eli,Mila Kunis,2010
17,The Book of Eli,Ray Stevenson,2010
17,The Book of Eli,Jennifer Beals,2010
17,The Book of Eli,Frances de la Tour,2010
17,The Book of Eli,Michael Gambon,2010
19,The Bounty Hunter,Jennifer Aniston,2010
19,The Bounty Hunter,Gerard Butler,2010
20,Brooklyn's Finest,Richard Gere,2010
20,Brooklyn's Finest,Don Cheadle,2010
20,Brooklyn's Finest,Ethan Hawke,2010
20,Brooklyn's Finest,Wesley Snipes,2010
21,Buried,Ryan Reynolds,2010
22,Burlesque,Cher,2010
22,Burlesque,Christina Aguilera,2010
22,Burlesque,Stanley Tucci,2010
22,Burlesque,Eric Dane,2010
22,Burlesque,Kristen Bell,2010
22,Burlesque,Alan Cumming,2010
